School Type,Teacher-to-student ratio,Attendance,Mathematics Books,Mock result,NECTA result
Private,67,86,Own a Book,A,1
Government,172,68,Own a Book,C,1
Government,144,65,Not Own Book,B,1
Government,112,76,Not Own Book,D,1
Private,63,83,Not Own Book,B,1
Government,236,66,Own a Book,F,0
Private,81,79,Own a Book,C,1
Private,50,90,Not Own Book,D,0
Private,83,94,Own a Book,B,1
Private,72,85,Own a Book,A,1
Government,150,78,Not Own Book,F,0
Private,87,86,Own a Book,B,1
Private,92,70,Not Own Book,F,0
Government,111,69,Own a Book,D,1
Private,74,86,Own a Book,D,1
Government,125,71,Not Own Book,B,1
Private,83,89,Not Own Book,A,1
Government,139,63,Not Own Book,F,0
Government,151,84,Own a Book,F,0
Government,137,69,Not Own Book,D,1
Government,145,68,Not Own Book,B,1
Government,226,77,Not Own Book,B,1
Government,257,70,Not Own Book,D,0
Government,166,92,Not Own Book,F,0
Private,73,86,Own a Book,A,1
Government,78,73,Own a Book,F,0
Government,115,62,Not Own Book,F,0
Private,73,94,Own a Book,A,1
Government,117,73,Own a Book,C,1
Government,122,66,Not Own Book,D,0
Government,220,61,Not Own Book,F,0
Government,151,56,Own a Book,F,0
Private,76,90,Own a Book,A,1
Private,64,78,Own a Book,F,0
Government,202,83,Own a Book,D,1
Government,140,57,Own a Book,F,0
Private,67,86,Own a Book,B,1
Government,78,61,Not Own Book,D,0
Private,74,88,Not Own Book,C,1
Private,66,88,Not Own Book,C,1
Government,225,74,Own a Book,B,1
Government,232,54,Not Own Book,F,0
Government,94,62,Own a Book,F,0
Government,99,79,Own a Book,F,0
Private,70,92,Own a Book,C,1
Government,113,50,Not Own Book,A,1
Government,159,73,Own a Book,C,1
Government,135,59,Own a Book,D,0
Private,79,83,Not Own Book,C,1
Government,195,67,Not Own Book,F,0
Private,59,98,Not Own Book,D,0
Government,194,59,Not Own Book,F,0
Government,117,55,Not Own Book,C,1
Private,107,91,Own a Book,A,1
Private,99,87,Not Own Book,F,0
Government,144,82,Own a Book,D,1
Private,60,85,Own a Book,B,1
Government,98,82,Not Own Book,A,1
Government,189,70,Not Own Book,F,0
Government,148,75,Own a Book,F,0
Government,191,86,Not Own Book,F,1
Private,108,86,Own a Book,B,1
Government,115,80,Own a Book,C,1
Private,56,83,Own a Book,C,1
Government,158,72,Own a Book,F,1
Private,92,77,Own a Book,C,1
Government,107,64,Not Own Book,F,0
Private,75,80,Own a Book,C,0
Private,95,96,Own a Book,C,1
Private,50,99,Own a Book,A,1
Government,160,66,Own a Book,F,1
Government,125,62,Own a Book,B,1
Private,76,78,Own a Book,B,1
Private,85,89,Own a Book,C,1
Private,78,83,Own a Book,B,1
Government,104,64,Own a Book,C,1
Government,127,86,Not Own Book,C,1
Private,96,85,Not Own Book,A,1
